-48.38753128,-27.44432449,5.40,14.35299968,10/02/2025 07:07:08 ,Position 63,
-48.38748931,-27.44432449,5.40,14.64931964,10/02/2025 07:07:09 ,Position 64,
-48.38745498,-27.44432449,5.10,12.66768074,10/02/2025 07:07:10 ,Position 65,
-48.38742446,-27.44432067,4.80,10.53787994,10/02/2025 07:07:11 ,Position 66,
-48.38737487,-27.44430732,5.30,7.50060033,10/02/2025 07:07:13 ,Position 67,
-48.38737106,-27.44430732,4.40,1.20379996,10/02/2025 07:07:14 ,Position 68,
-48.38737106,-27.44430732,4.50,0.27780003,10/02/2025 07:07:15 ,Position 69,
-48.38737106,-27.44430732,4.90,0.38891997,10/02/2025 07:07:16 ,Position 70,
-48.38736343,-27.44430732,5.30,2.90763998,10/02/2025 07:07:17 ,Position 71,
-48.38734817,-27.44429779,5.00,7.72284030,10/02/2025 07:07:18 ,Position 72,
-48.38733291,-27.44427680,5.60,9.77856063,10/02/2025 07:07:19 ,Position 73,
-48.38732528,-27.44424819,6.40,11.22311973,10/02/2025 07:07:20 ,Position 74,
-48.38732147,-27.44421577,6.60,13.46403980,10/02/2025 07:07:21 ,Position 75,
-48.38732528,-27.44417572,6.40,16.79763984,10/02/2025 07:07:22 ,Position 76,
-48.38732528,-27.44408798,6.60,16.70503997,10/02/2025 07:07:24 ,Position 77,
-48.38732147,-27.44404602,6.90,17.24212074,10/02/2025 07:07:25 ,Position 78,
-48.38732528,-27.44400215,6.30,16.92728042,10/02/2025 07:07:26 ,Position 79,
-48.38732528,-27.44395637,6.40,18.01995849,10/02/2025 07:07:27 ,Position 80,
-48.38732910,-27.44391059,5.90,19.44599914,10/02/2025 07:07:28 ,Position 81,
-48.38732528,-27.44385528,5.30,21.31652069,10/02/2025 07:07:29 ,Position 82,
-48.38732147,-27.44379997,5.30,22.53883934,10/02/2025 07:07:30 ,Position 83,
-48.38732147,-27.44374465,5.20,22.57588005,10/02/2025 07:07:31 ,Position 84,
-48.38731384,-27.44368743,5.20,22.64995956,10/02/2025 07:07:32 ,Position 85,
-48.38731384,-27.44363212,5.00,21.24244117,10/02/2025 07:07:33 ,Position 86,
-48.38730621,-27.44353294,4.90,19.55712127,10/02/2025 07:07:35 ,Position 87,
-48.38730239,-27.44348144,4.60,19.13116073,10/02/2025 07:07:36 ,Position 88,
-48.38730621,-27.44343376,4.20,19.85344123,10/02/2025 07:07:37 ,Position 89,
-48.38731384,-27.44338417,3.80,19.96455955,10/02/2025 07:07:38 ,Position 90,
-48.38731384,-27.44333267,4.60,19.79787826,10/02/2025 07:07:39 ,Position 91,
-48.38730621,-27.44328308,4.10,19.63120079,10/02/2025 07:07:40 ,Position 92,
-48.38729858,-27.44323158,4.00,20.07567977,10/02/2025 07:07:41 ,Position 93,
-48.38729858,-27.44318389,3.90,20.20532035,10/02/2025 07:07:42 ,Position 94,
