Time (s);Axial;Horizontal;Vertical
0;0.003825804;-0.009684677;0.010327831
0.000198413;0.003825804;-0.009684677;0.010327831
0.000396825;-0.000720264;-0.005311181;-0.009909257
0.000595238;-0.011625783;0.008662446;8.06006E-05
0.000793651;0.005541375;0.007457225;0.005697623
0.000992063;0.00072681;0.007811448;-0.008133515
0.001190476;0.004082603;0.007567959;-0.005621537
0.001388889;0.001291348;0.00851561;-0.006233796
0.001587302;0.003818413;-0.000433374;-0.006669745
0.001785714;0.001398733;-0.013183458;-0.00524114
0.001984127;0.003827823;0.007503329;-0.008308992
0.00218254;0.001262976;-0.006830647;0.009092346
0.002380952;0.004158465;0.006113455;-0.018915042
0.002579365;-0.014726708;-0.007529647;-0.007450565
0.002777778;-0.010363849;-0.008061587;0.010101333
0.00297619;0.000229878;-0.009117387;-0.008688554
0.003174603;-0.014348337;-0.006691919;-0.004212484
0.003373016;-0.01401812;-0.011263094;-0.00863193
0.003571429;-0.008266153;0.000350012;0.000144616
0.003769841;0.005901834;0.001041214;0.012599126
0.003968254;-0.000116395;-0.003744166;0.00158836
0.004166667;0.006131208;0.013479518;-0.010359391
0.004365079;-0.010974223;-0.005737364;0.007368699
0.004563492;-0.00199412;-0.009139485;-0.001415595
0.004761905;0.004417589;0.005071292;-0.008646235
0.004960317;0.001478201;-0.005020227;0.00937511
0.00515873;0.018726362;-0.010028464;0.009639517
0.005357143;7.09351E-05;0.010384774;-0.008718595
0.005555556;-0.012319418;0.005000834;-0.019483968
0.005753968;0.005875362;0.01123274;0.015872613
0.005952381;-0.001129428;0.000123673;0.001150027
0.006150794;0.011592587;-0.003459198;-0.001061424
0.006349206;0.01231396;0.010574544;0.013201967
0.006547619;0.000578931;0.005903422;0.000985876
0.006746032;0.00202289;0.009835018;-0.009669766
0.006944444;0.014284818;-0.003383696;0.005965367
0.007142857;0.007915085;-0.011110798;0.011285797
0.00734127;0.013014315;0.007004386;-0.00335513
0.007539683;0.00805155;-0.00707742;-0.02197282
0.007738095;0.013731746;-0.007677843;-0.006241306
0.007936508;0.005524581;0.00687798;-0.006779298
0.008134921;-0.000294225;-0.00965542;-0.004125699
0.008333333;0.00563038;-0.008272044;0.012744442
0.008531746;-0.00115248;-0.004141882;0.003840581
0.008730159;0.011110192;0.006885142;-0.007338032
0.008928571;0.014520293;-0.016642928;-0.007159933
0.009126984;-0.01054127;0.00723135;0.002762214
0.009325397;-0.003192754;-0.005865436;0.003590718
0.00952381;-0.006202163;0.004584427;-0.011422738
0.009722222;-0.005896533;-0.004931617;-0.001892194
0.009920635;0.00831922;0.004527374;-0.010395035
0.010119048;-0.00255988;-0.005618443;-0.001875624
0.01031746;0.007777384;0.006234533;-0.011070832
0.010515873;-0.003036173;-0.009840603;-0.000404581
0.010714286;0.009387335;-0.003652172;-0.014143809
0.010912698;-0.008226575;0.003596409;0.009172812
0.011111111;-0.003424214;-0.004554886;0.013492719
0.011309524;-0.007081205;0.004769151;-0.000659927
0.011507937;-0.003950851;-0.007214115;0.003124252
0.011706349;-0.006482819;0.016262228;0.000580922
0.011904762;-0.005403968;-0.008389258;0.003756777
0.012103175;0.00511889;0.004475952;-0.010529861
0.012301587;0.00169847;0.008453945;-0.003708943
0.0125;0.002571305;-0.005387011;-0.007634744
0.012698413;0.003319575;0.004013399;-0.005811915
0.012896825;0.00123213;-0.005125779;-0.005095109
0.013095238;0.004672831;-0.011564083;0.008221165
0.013293651;-0.000433126;-0.003046609;-0.006502613
0.013492063;0.007298877;0.006824432;-0.00835143
0.013690476;-0.007592084;0.010191026;0.002048508
0.013888889;-0.004025089;0.000253482;-0.001794919
0.014087302;-0.007173376;-0.009502995;-0.021001324
0.014285714;0.002811058;-0.008113825;-0.000590905
0.014484127;0.015556155;-0.008003292;-0.001763686
0.01468254;-0.013934093;-0.008818799;0.017585054
0.014880952;-0.012571784;-0.007522301;-0.008344635
0.015079365;-0.000748733;-0.009259123;-0.002588495
0.015277778;-0.009749198;-0.006919499;-0.010248884
0.01547619;0.015724076;0.006090956;-0.0017073
0.015674603;0.002938924;0.009894366;-0.011807665
0.015873016;0.002607508;0.003279705;0.00286986
0.016071429;0.001920557;-0.008039552;-0.001152262
0.016269841;0.004621884;-0.01051709;-0.018723055
0.016468254;-0.00535276;7.86507E-05;-0.005320057
0.016666667;-0.008241365;0.001761381;0.001333013
0.016865079;0.006537041;-0.0056778;0.004858032
0.017063492;3.64911E-05;0.025453998;-0.012520775
0.017261905;0.00453133;-0.000149406;0.009499565
0.017460317;0.001038848;-0.011531352;-0.003519997
0.01765873;0.003900049;0.007004491;-0.006991252
0.017857143;0.00139126;0.007707919;0.008493081
0.018055556;-0.012810575;0.007371272;-0.005540713
0.018253968;-0.01257115;-0.010249453;-0.006069287
0.018452381;0.005146755;-0.004473371;0.01440455
0.018650794;0.000430791;0.008762954;-0.000787124
0.018849206;0.005314892;0.007618139;-0.020664021
0.019047619;-0.004880311;0.007236919;-0.00176917
0.019246032;-0.015145978;0.00925768;-0.00917004
0.019444444;-0.012461426;-0.001153795;-0.003847107
0.019642857;-0.014181444;-0.011345787;-0.008352741
0.01984127;-0.01251653;0.003213764;-0.004189119
0.020039683;-0.014837766;0.02216814;-0.008282527
0.020238095;0.001358388;0.010649207;-0.00403355
0.020436508;0.002507431;0.006061109;-0.008716091
0.020634921;0.003475158;-0.007639514;-0.003081426
0.020833333;-0.000256965;-0.007378729;-0.011472091
0.021031746;-0.011830391;0.010283432;-0.017855808
0.021230159;0.005368015;0.005722372;-0.007308945
0.021428571;0.000835693;0.009682069;0.000710502
0.021626984;0.004045902;0.005499978;0.005280391
0.021825397;0.001190258;0.010883002;-0.009802684
0.02202381;0.004239669;-0.00295207;-0.003881201
0.022222222;-1.69743E-05;-0.0091402;-0.008687362
0.022420635;0.016118301;-0.008170701;0.00596191
0.022619048;0.006884089;-0.008410183;0.011897221
0.02281746;0.000399215;0.004893989;-0.005492434
0.023015873;0.004417559;-0.004808697;-0.005741223
0.023214286;0.000673002;-0.012015928;-0.007487878
0.023412698;0.0051551;-0.00215242;-0.003065213
0.023611111;-0.002751881;0.001813589;0.009559766
0.023809524;-0.010113651;-0.002463266;0.012002722
0.024007937;0.005059494;0.002100444;0.001918093
0.024206349;0.001366509;-0.003115508;0.00010778
0.024404762;0.003341062;0.003848887;0.004576102
0.024603175;0.002124144;-0.013045209;-0.002986297
0.024801587;0.002885161;-0.005923461;0.017895237
0.025;0.002458504;0.000425689;-0.008242234
0.025198413;0.002589284;0.012594598;0.010023967
0.025396825;0.002789913;-0.0098411;-0.005835756
0.025595238;0.002067445;-0.005971703;-0.005153879
0.025793651;0.004262662;0.006445986;-0.007946834
0.025992063;0.017795874;0.007253113;-0.002989635
0.026190476;-0.000333751;-0.009759914;0.010693208
0.026388889;0.005733533;0.014940458;0.006657019
0.026587302;-0.005171748;-0.003557821;-0.010502204
0.026785714;-0.008771205;-4.78098E-05;-0.001922831
0.026984127;0.006715266;0.007753028;-0.012492165
0.02718254;-0.000697905;0.009886431;0.016217724
0.027380952;0.006488195;-0.004134876;0.018406645
0.027579365;-0.012249211;-0.008734224;-0.004383787
0.027777778;-0.000609526;-0.009119874;-0.007549509
0.02797619;0.017384788;0.006670558;0.009052769
0.028174603;0.004361009;-0.007557313;0.008833304
0.028373016;0.001005335;-0.008395731;-0.005281314
0.028571429;0.004379226;-0.007289482;-0.008384093
0.028769841;0.000479018;0.011742389;-0.000548705
0.028968254;0.005236922;0.000285598;0.005217925
0.029166667;-0.00093239;-0.003723567;-0.002776369
0.029365079;0.008047393;0.011121722;0.008517519
0.029563492;-0.011828909;-0.000389803;-0.014523312
0.029761905;0.007140672;-0.012789139;0.009788528
0.029960317;0.01141247;0.00602975;-0.004250392
0.03015873;-0.000994565;-0.005070656;0.007440225
0.030357143;0.0045761;0.003729564;-0.015584573
0.030555556;0.001523918;0.009305867;-0.011557564
0.030753968;0.00298289;0.007041907;0.012947813
0.030952381;0.002879879;0.007705706;0.005741611
0.031150794;0.001475966;0.008714134;-0.004518375
0.031349206;0.005163861;0.003564885;-0.00917457
0.031547619;-0.004775593;-0.006411047;0.000817076
0.031746032;-0.007267358;0.012559062;0.005566135
0.031944444;-0.002694095;-0.00087933;-0.010159716
0.032142857;-0.009640755;-0.010877996;0.002720967
0.03234127;0.008115975;0.001792739;0.013163224
0.032539683;-0.001356238;0.009490742;-0.002483591
0.032738095;0.005783496;0.00740078;-0.006944045
0.032936508;6.58613E-05;-0.004930313;-0.006214365
0.033134921;-0.008749025;0.003786332;-0.005780205
0.033333333;-0.002482088;-0.004630077;-0.007254466
0.033531746;-0.008485066;0.005963568;-0.003603562
0.033730159;-0.001482794;0.008080038;0.007707849
0.033928571;-0.01274799;-0.013616224;-0.005759343
0.034126984;-0.015742475;6.53459E-05;0.015227691
0.034325397;-0.006198356;0.00610262;3.94734E-05
0.03452381;0.003381191;0.011667947;0.000805393
0.034722222;0.003910227;-0.004639984;0.005496159
0.034920635;-0.007737676;0.002405661;-0.01304315
0.035119048;-0.006435255;-0.001504268;0.009771481
0.03531746;0.019402569;-0.010741716;-0.003827795
0.035515873;0.004248573;-0.00734153;-0.005968079
0.035714286;-0.011241781;0.005379038;-0.007238492
0.035912698;-0.000532063;-0.006381804;-0.004810795
0.036111111;-0.010043094;0.008165764;-0.007369503
0.036309524;-0.000531042;0.005257736;0.015087381
0.036507937;-0.011075186;-0.00976226;0.000753775
0.036706349;0.002295552;-0.008083865;0.002447263
0.036904762;-0.020957014;-0.007007444;-0.002621397
0.037103175;0.004484935;-0.01611664;-0.01992546
0.037301587;0.015458418;-0.02006577;-0.001277193
0.0375;-0.013060497;0.005448681;-0.00897859
0.037698413;-0.001286278;0.008309579;-0.005135998
0.037896825;0.002643956;-0.004327867;0.004225508
0.038095238;0.016102849;0.002395049;0.013247505
0.038293651;0.005485257;0.011323533;-0.007223472
0.038492063;0.016109323;-0.01137895;0.011182443
0.038690476;0.003136;-0.004762507;0.006875769
0.038888889;0.002107194;-0.012720059;-0.004717096
0.039087302;0.002989871;-0.000158952;0.012665883
0.039285714;0.002298987;0.0009835;0.007017508
0.039484127;0.002801968;-0.002757294;0.013845816
0.03968254;0.002491323;0.004416295;-0.001523003
0.039880952;0.002585268;-0.014895682;0.003509656
0.040079365;0.002770705;0.006388326;0.000734821
0.040277778;0.002145549;-0.004750007;0.00231804
0.04047619;0.003769634;0.003116822;0.002030507
0.040674603;-0.011691162;-0.002939991;-0.011696681
0.040873016;0.000581605;-0.011835511;0.012768045
0.041071429;0.003213247;0.011092814;0.005956665
0.041269841;-0.015645975;0.003012354;-0.003894195
0.041468254;-0.009594599;-0.006472183;-0.008936748
0.041666667;0.003375432;-0.009525422;-0.003027662
0.041865079;0.003076499;0.021137761;-0.010593518
0.042063492;-0.002382221;0.007703217;0.003842488
0.042261905;-0.018235238;-0.002022234;0.002498403
0.042460317;-0.002277346;0.001354004;-0.007727965
0.04265873;0.002869559;-0.003144528;-0.007028445
0.042857143;0.003315484;0.014040096;0.005615488
0.043055556;0.000854244;-0.008522072;-0.000246629
0.043253968;0.017852036;-0.006793303;-0.010014161
