Time (s);Axial;Horizontal;Vertical
0;-0.00538969;-0.000430107;-0.003451824
0.00015625;-0.00538969;-0.000430107;-0.003451824
0.0003125;-0.00538969;-0.000430107;-0.003451824
0.00046875;-0.00538969;0.015194893;-0.003451824
0.000625;-0.00538969;-0.000430107;-0.003451824
0.00078125;-0.00538969;-0.000430107;0.012173176
0.0009375;-0.00538969;-0.000430107;-0.003451824
0.00109375;0.01023531;-0.016055107;-0.003451824
0.00125;0.01023531;0.015194893;-0.003451824
0.00140625;0.01023531;-0.016055107;0.012173176
0.0015625;-0.00538969;-0.031680107;-0.003451824
0.00171875;0.01023531;-0.000430107;0.012173176
0.001875;-0.00538969;0.015194893;-0.003451824
0.00203125;-0.00538969;-0.016055107;0.012173176
0.0021875;-0.00538969;-0.016055107;0.012173176
0.00234375;-0.00538969;-0.000430107;-0.003451824
0.0025;0.01023531;0.015194893;0.012173176
0.00265625;0.01023531;-0.016055107;-0.003451824
0.0028125;-0.00538969;-0.000430107;-0.019076824
0.00296875;-0.00538969;0.015194893;-0.003451824
0.003125;0.01023531;-0.000430107;-0.003451824
0.00328125;-0.00538969;0.015194893;0.012173176
0.0034375;0.01023531;0.015194893;-0.003451824
0.00359375;-0.00538969;-0.016055107;-0.019076824
0.00375;-0.00538969;-0.000430107;0.012173176
0.00390625;0.01023531;-0.016055107;-0.019076824
0.0040625;-0.00538969;-0.016055107;-0.003451824
0.00421875;-0.00538969;-0.016055107;0.012173176
0.004375;-0.00538969;-0.000430107;-0.003451824
0.00453125;-0.00538969;-0.000430107;-0.003451824
0.0046875;-0.02101469;-0.016055107;-0.003451824
0.00484375;-0.02101469;-0.016055107;0.012173176
0.005;0.01023531;-0.000430107;-0.003451824
0.00515625;-0.00538969;-0.000430107;0.012173176
0.0053125;0.01023531;0.015194893;-0.003451824
0.00546875;-0.00538969;-0.000430107;-0.019076824
0.005625;0.01023531;-0.016055107;0.012173176
0.00578125;0.01023531;-0.000430107;-0.003451824
0.0059375;0.01023531;-0.000430107;0.012173176
